Date,AAPL,BA,CME,CVX,GS,IBM,MON,TEVA,XOM
2007-06-25,15.919035,75.01892,76.900767,59.191415,193.528156,85.247693,57.961727,33.680621,64.225613
2007-06-26,15.56901,74.555795,76.54034,59.01302,191.233385,85.434251,57.935868,33.970687,63.796764
2007-06-27,15.860481,74.296756,78.163703,59.862182,195.840776,85.515361,56.892833,34.186162,65.091104
2007-06-28,15.687419,74.697089,77.921497,60.06912,195.510406,85.937136,57.479002,34.003835,65.184666
2007-06-29,15.88,75.482052,77.039172,60.111934,193.537081,85.369361,58.220333,34.186162,65.402987
2007-07-02,15.778504,75.960874,76.771013,60.761293,195.706832,85.174696,59.125443,34.592253,66.135927
2007-07-03,16.547521,76.651645,77.758586,61.603317,200.501739,86.448139,58.188451,34.376775,66.556977
2007-07-05,17.273597,77.208968,80.114337,61.774575,197.617661,87.640472,57.350778,34.202737,66.401035
2007-07-06,17.215043,77.617146,82.869442,62.566649,199.689193,88.435357,57.722114,34.343624,67.414669
2007-07-09,16.958705,78.417812,82.261039,63.865363,199.385609,88.386692,57.972554,34.285612,68.178798
2007-07-10,17.221549,78.692548,80.851052,63.508573,193.831741,88.110912,56.590817,34.285612,67.445858
2007-07-11,17.226754,78.590505,83.626341,64.757337,193.510295,88.492134,56.96216,34.907178,68.061838
2007-07-12,17.445358,79.108577,84.743663,66.576967,196.697957,88.638135,59.112488,35.78566,69.878589
2007-07-13,17.921602,79.972036,84.267902,66.598374,198.385546,88.086579,60.502863,36.100588,70.432191
2007-07-16,17.969746,80.12118,84.52741,65.734943,196.796177,88.94636,60.269697,36.001135,69.940963
2007-07-17,18.075145,80.105484,84.159772,65.007089,195.903272,89.846687,59.915624,36.340925,69.465332
2007-07-18,17.972349,79.92494,83.278888,66.419979,191.965573,90.098136,60.122889,36.440378,71.071561
2007-07-19,18.216977,80.443018,82.465765,66.362891,189.018985,93.975242,60.157434,36.166887,71.960443
2007-07-20,18.704933,81.526265,81.024056,65.734943,183.884784,93.123574,59.622008,35.55361,71.687542
2007-07-23,18.698426,81.667559,80.678043,66.056052,183.081161,94.397017,60.217884,36.142025,72.857123
2007-07-24,17.552058,81.479169,79.149835,64.115115,176.929049,94.226684,59.121126,36.001135,70.829844
2007-07-25,17.860445,84.171593,78.936458,64.971413,181.40251,95.792127,57.428497,35.876824,72.350303
2007-07-26,18.997705,81.400668,77.491867,62.40966,174.223549,94.518684,55.943128,35.503883,68.794778
2007-07-27,18.717943,81.408519,80.231117,60.796969,172.327191,93.780577,54.794559,35.031493,66.736309
2007-07-30,18.403051,82.845003,82.400885,61.674674,175.091235,92.888351,56.167662,35.081219,67.063796
2007-07-31,17.144778,81.188731,79.654431,60.839788,168.471859,89.749358,55.658143,34.824304,66.377638
2007-08-01,17.566372,82.052189,80.933229,60.775563,169.062238,90.876801,56.279926,35.30498,66.931239
2007-08-02,17.760251,83.151138,80.156145,59.862182,167.6847,91.842024,56.115849,35.951412,66.416627
2007-08-03,17.156489,81.824549,80.432955,57.814207,160.725406,90.755133,55.33862,35.006631,63.999493
2007-08-06,17.598901,81.903044,82.785825,58.527786,167.979876,92.377354,55.191808,35.222106,65.137885
2007-08-07,17.570275,81.023889,83.474963,59.355541,171.074884,92.085353,56.720357,35.88511,66.822079
2007-08-08,17.43755,80.905743,87.223404,60.176159,172.90863,91.963259,59.587463,36.299488,68.537469
2007-08-09,16.446026,77.424403,85.601481,57.878432,163.024301,90.131808,59.99335,35.669635,65.445259
2007-08-10,16.265159,77.534671,85.673566,59.526799,161.45891,91.686503,58.948411,35.986897,66.157645
2007-08-13,16.628197,78.802762,83.773392,58.834626,158.775382,91.743482,58.326628,35.829094,64.912929
2007-08-14,16.13894,76.896683,81.067305,58.834626,151.842936,91.206259,56.608093,35.621461,65.077325
2007-08-15,15.601539,75.226904,77.83788,58.036947,147.504561,90.538797,54.811831,35.289251,63.950042
2007-08-16,15.230693,73.045155,76.338501,58.489685,151.932392,89.28527,54.164142,33.918874,63.151544
2007-08-17,15.882602,75.557708,78.40735,60.624031,156.539109,90.270183,54.483668,34.259392,65.867993
2007-08-20,15.90342,76.565879,77.509169,61.004906,154.535404,88.902699,55.079541,34.06837,66.173299
2007-08-21,16.599569,76.361092,79.87069,60.580915,156.96847,88.756183,55.355889,33.968707,65.092985
2007-08-22,17.242369,77.180232,78.803823,61.364224,159.12424,89.537601,57.428497,34.06837,65.429605
